code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,09:15:01.790,91501790,191106,0.0,4000,0.0,?,159112,0,0,18:03:18.802
000931.SZ,09:15:23.570,91523570,276918,0.0,500,0.0,?,0,25166,0,18:03:19.988
000931.SZ,09:17:26.600,91726600,311884,0.0,500,0.0,?,0,175380,0,18:03:20.938
000931.SZ,09:17:30.480,91730480,313138,0.0,500,0.0,?,0,175422,0,18:03:20.938
000931.SZ,09:25:00.000,92500000,556447,5.07,800,0.4056,B,276712,377766,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556448,5.07,1400,0.7098,B,281861,526769,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556449,5.07,1100,0.5577,B,290985,526769,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556450,5.07,200,0.1014,B,405577,526769,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556451,5.07,7000,3.549,S,534041,526769,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556452,5.07,600,0.3042,B,381524,526769,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556453,5.07,1700,0.8619,B,381524,545970,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556454,5.07,2600,1.3182,B,381524,542828,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556455,5.07,100,0.0507,B,478382,542828,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556456,5.07,1400,0.7098,B,478382,546039,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556457,5.07,300,0.1521,B,494672,546039,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556458,5.07,1600,0.8112,B,543632,546039,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556459,5.07,1300,0.6591,S,543632,83495,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556460,5.07,100,0.0507,S,543632,130337,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556461,5.07,1800,0.9126,S,537049,524546,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556462,5.07,100,0.0507,S,531804,524546,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556463,5.07,300,0.1521,S,532450,524546,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556464,5.07,100,0.0507,S,534923,524546,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556465,5.07,100,0.0507,B,464973,524546,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556466,5.07,1400,0.7098,B,464973,532423,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556467,5.07,500,0.2535,S,464973,144439,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556468,5.07,2000,1.014,S,468385,144439,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556469,5.07,3200,1.6224,S,479668,144439,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556470,5.07,500,0.2535,S,540595,144439,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556471,5.07,2700,1.3689,B,540595,542906,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556472,5.07,3600,1.8252,B,28793,542906,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556473,5.07,300,0.1521,B,28793,100160,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556474,5.07,300,0.1521,B,28793,112635,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556475,5.07,1400,0.7098,B,28793,508079,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556476,5.07,100,0.0507,B,331424,508079,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556477,5.07,1500,0.7605,B,364161,508079,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556478,5.07,100,0.0507,B,474406,508079,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556479,5.07,1100,0.5577,B,383337,508079,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556480,5.07,1700,0.8619,B,383337,489806,0,18:03:25.632
000931.SZ,09:25:00.000,92500000,556481,5.07,2400,1.2168,S,509922,489806,0,18:03:25.632
000931.SZ,09:30:00.000,93000000,640482,5.08,500,0.254,B,318582,640481,0,18:03:26.981
