code,time,time_raw,order,price,volume,order_kind,function_code,biz_index,recv_time
000931.SZ,09:15:00.030,91500030,1138,5.61,100,0,S,0,16:02:50.712
000931.SZ,09:15:00.040,91500040,4155,4.91,2000,0,B,0,16:02:50.712
000931.SZ,09:15:00.040,91500040,4264,5.61,3800,0,S,0,16:02:50.712
000931.SZ,09:15:00.050,91500050,7339,5.25,1200,0,S,0,16:02:50.712
000931.SZ,09:15:00.060,91500060,14206,5.61,1000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,15376,5.61,2100,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17202,5.17,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17271,5.21,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17272,5.22,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17337,5.23,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17338,5.26,10000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17399,5.13,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17409,5.16,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,17410,5.19,5000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,18942,5.6,1000,0,S,0,16:02:50.932
000931.SZ,09:15:00.070,91500070,19695,4.98,5000,0,B,0,16:02:50.932
000931.SZ,09:15:00.080,91500080,21016,5.61,400,0,S,0,16:02:50.932
000931.SZ,09:15:00.080,91500080,21477,5.13,2000,0,S,0,16:02:50.932
000931.SZ,09:15:00.080,91500080,21842,5.61,600,0,S,0,16:02:50.932
000931.SZ,09:15:00.080,91500080,23314,4.62,400,0,B,0,16:02:50.932
000931.SZ,09:15:00.080,91500080,24140,5.35,6300,0,S,0,16:02:50.932
000931.SZ,09:15:00.090,91500090,24845,5.5,1000,0,S,0,16:02:50.932
000931.SZ,09:15:00.100,91500100,29492,5.01,1000,0,B,0,16:02:51.114
000931.SZ,09:15:00.100,91500100,31463,4.98,5000,0,B,0,16:02:51.114
000931.SZ,09:15:00.100,91500100,31464,4.75,5000,0,B,0,16:02:51.114
000931.SZ,09:15:00.100,91500100,31465,5.5,5000,0,S,0,16:02:51.114
000931.SZ,09:15:00.100,91500100,32209,4.95,2000,0,B,0,16:02:51.114
000931.SZ,09:15:00.100,91500100,32817,5.61,200,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,33780,5.21,5000,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,33871,5.01,3000,0,B,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,35847,5.0,500,0,B,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,36112,5.49,1500,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,36117,5.46,1500,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,36118,4.61,1800,0,B,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37169,5.05,1000,0,B,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37170,5.0,1000,0,B,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37336,5.23,1200,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37337,5.26,2300,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37338,5.27,4600,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37339,5.33,1100,0,S,0,16:02:51.114
000931.SZ,09:15:00.110,91500110,37340,5.37,1200,0,S,0,16:02:51.114
000931.SZ,09:15:00.120,91500120,39154,4.96,5000,0,B,0,16:02:51.114
000931.SZ,09:15:00.120,91500120,40021,5.5,10000,0,S,0,16:02:51.114
000931.SZ,09:15:00.120,91500120,41494,4.9,23000,0,B,0,16:02:51.114
000931.SZ,09:15:00.120,91500120,42181,5.38,1200,0,S,0,16:02:51.301
000931.SZ,09:15:00.130,91500130,44642,5.61,1300,0,S,0,16:02:51.301
000931.SZ,09:15:00.130,91500130,47557,4.75,200,0,B,0,16:02:51.301
