code,time,time_raw,index,price,volume,turnover,bsflag,ask_order,bid_order,biz_index,recv_time
000931.SZ,09:15:05.260,91505260,278519,0.0,400,0.0,?,0,278513,0,16:02:54.587
000931.SZ,09:25:00.000,92500000,588390,5.09,100,0.0509,B,193134,292827,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588391,5.09,300,0.1527,S,460146,292827,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588392,5.09,200,0.1018,B,460146,556906,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588393,5.09,5000,2.545,S,460146,303713,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588394,5.09,700,0.3563,S,460146,298436,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588395,5.09,600,0.3054,S,460146,307531,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588396,5.09,200,0.1018,S,460146,378432,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588397,5.09,1500,0.7635,S,484369,378432,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588398,5.09,400,0.2036,S,422840,378432,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588399,5.09,3800,1.9342,B,422840,569513,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588400,5.09,1500,0.7635,B,422840,545011,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588401,5.09,100,0.0509,B,422840,565675,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588402,5.09,100,0.0509,B,422840,566074,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588403,5.09,500,0.2545,B,422840,572163,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588404,5.09,100,0.0509,B,422840,576067,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588405,5.09,500,0.2545,S,422840,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588406,5.09,700,0.3563,S,486001,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588407,5.09,200,0.1018,S,516041,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588408,5.09,100,0.0509,S,537171,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588409,5.09,100,0.0509,S,558290,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588410,5.09,700,0.3563,S,564256,271496,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588411,5.09,100,0.0509,S,564256,396109,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588412,5.09,100,0.0509,S,564256,189350,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588413,5.09,200,0.1018,S,564992,189350,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588414,5.09,100,0.0509,S,565985,189350,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588415,5.09,200,0.1018,S,569999,337624,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588416,5.09,100,0.0509,S,573684,337624,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588417,5.09,900,0.4581,S,556222,337624,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588418,5.09,500,0.2545,S,556222,355867,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588419,5.09,400,0.2036,S,556222,526275,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588420,5.09,300,0.1527,B,556222,560650,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588421,5.09,200,0.1018,B,556222,562900,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588422,5.09,300,0.1527,B,556222,578323,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588423,5.09,6100,3.1049,B,505930,578323,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588424,5.09,300,0.1527,S,505930,372798,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588425,5.09,100,0.0509,S,422809,372798,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588426,5.09,400,0.2036,S,564942,372798,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588427,5.09,300,0.1527,S,516821,372798,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588428,5.09,500,0.2545,S,516821,72710,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588429,5.09,500,0.2545,S,516821,274723,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588430,5.09,700,0.3563,B,516821,519146,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588431,5.09,500,0.2545,B,467133,519146,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588432,5.09,100,0.0509,S,522134,519146,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588433,5.09,3700,1.8833,S,556320,519146,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588434,5.09,300,0.1527,B,556320,574785,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588435,5.09,500,0.2545,B,444780,574785,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588436,5.09,5700,2.9013,B,543585,574785,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588437,5.09,1200,0.6108,S,543585,181432,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588438,5.09,1000,0.509,S,543585,472775,0,16:03:00.227
000931.SZ,09:25:00.000,92500000,588439,5.09,7100,3.6139,B,543585,578963,0,16:03:00.238
000931.SZ,09:25:00.000,92500000,588440,5.09,15000,7.635,B,565674,578963,0,16:03:00.238
000931.SZ,09:25:00.000,92500000,588441,5.09,800,0.4072,B,107791,578963,0,16:03:00.238
000931.SZ,09:25:00.000,92500000,588442,5.09,4900,2.4941,B,426521,578963,0,16:03:00.238
000931.SZ,09:30:00.040,93000040,685709,5.08,200,0.1016,S,685708,312421,0,16:03:01.951
000931.SZ,09:30:00.040,93000040,685710,5.08,1500,0.762,S,685708,341800,0,16:03:01.951
000931.SZ,09:30:00.050,93000050,689920,0.0,2000,0.0,?,0,686363,0,16:03:01.951
000931.SZ,09:30:00.050,93000050,690959,5.08,700,0.3556,B,685708,690958,0,16:03:01.951
000931.SZ,09:30:00.050,93000050,690960,5.09,300,0.1527,B,426521,690958,0,16:03:01.951
000931.SZ,09:30:00.060,93000060,697178,5.09,1700,0.8653,B,426521,697177,0,16:03:02.182
000931.SZ,09:30:00.090,93000090,718681,5.08,1600,0.8128,S,718680,693831,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718682,5.08,600,0.3048,S,718680,693999,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718683,5.08,900,0.4572,S,718680,696406,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718684,5.08,900,0.4572,S,718680,696636,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718685,5.08,600,0.3048,S,718680,700206,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718686,5.08,700,0.3556,S,718680,702021,0,16:03:02.679
000931.SZ,09:30:00.090,93000090,718687,5.08,1000,0.508,S,718680,704321,0,16:03:02.679
000931.SZ,09:30:00.130,93000130,741040,5.08,200,0.1016,S,741039,704321,0,16:03:02.931
000931.SZ,09:30:00.130,93000130,741041,5.08,600,0.3048,S,741039,711864,0,16:03:02.931
000931.SZ,09:30:00.130,93000130,741042,5.08,700,0.3556,S,741039,717023,0,16:03:02.931
000931.SZ,09:30:00.130,93000130,741043,5.08,500,0.254,S,741039,720185,0,16:03:02.931
000931.SZ,09:30:00.170,93000170,764403,5.08,400,0.2032,S,764402,720185,0,16:03:03.331
000931.SZ,09:30:00.180,93000180,767657,5.07,5700,2.8899,S,767656,131174,0,16:03:03.331
000931.SZ,09:30:00.180,93000180,768993,5.08,900,0.4572,B,764402,768992,0,16:03:03.553
000931.SZ,09:30:00.230,93000230,787766,5.07,1000,0.507,S,787765,131174,0,16:03:03.693
000931.SZ,09:30:00.250,93000250,793218,5.08,100,0.0508,B,764402,793217,0,16:03:03.896
000931.SZ,09:30:00.250,93000250,796938,0.0,10000,0.0,?,554531,0,0,16:03:03.896
000931.SZ,09:30:00.270,93000270,802385,5.07,1000,0.507,S,802384,131174,0,16:03:03.896
000931.SZ,09:30:00.300,93000300,812953,5.08,400,0.2032,B,764402,812952,0,16:03:04.071
000931.SZ,09:30:00.300,93000300,813559,0.0,400,0.0,?,397320,0,0,16:03:04.071
000931.SZ,09:30:00.350,93000350,826182,0.0,400,0.0,?,330305,0,0,16:03:04.332
000931.SZ,09:30:00.390,93000390,837308,0.0,10000,0.0,?,306351,0,0,16:03:04.442
000931.SZ,09:30:00.390,93000390,837386,5.07,500,0.2535,S,837385,131174,0,16:03:04.442
000931.SZ,09:30:00.400,93000400,841287,5.08,2800,1.4224,B,764402,841286,0,16:03:04.442
000931.SZ,09:30:00.400,93000400,841288,5.08,3100,1.5748,B,781831,841286,0,16:03:04.442
000931.SZ,09:30:00.410,93000410,842134,0.0,100,0.0,?,0,565212,0,16:03:04.522
000931.SZ,09:30:00.430,93000430,846533,5.08,200,0.1016,B,781831,846532,0,16:03:04.522
000931.SZ,09:30:00.550,93000550,871202,5.08,200,0.1016,B,781831,871201,0,16:03:04.992
000931.SZ,09:30:00.550,93000550,871541,5.08,100,0.0508,B,781831,871540,0,16:03:04.992
000931.SZ,09:30:00.550,93000550,871637,5.08,100,0.0508,B,781831,871636,0,16:03:04.992
000931.SZ,09:30:00.690,93000690,897769,5.08,100,0.0508,B,781831,897768,0,16:03:05.397
000931.SZ,09:30:00.730,93000730,905537,5.08,600,0.3048,B,781831,905536,0,16:03:05.550
000931.SZ,09:30:00.810,93000810,919224,5.08,600,0.3048,B,781831,919223,0,16:03:05.660
000931.SZ,09:30:00.810,93000810,919225,5.08,100,0.0508,B,815930,919223,0,16:03:05.660
000931.SZ,09:30:00.810,93000810,919226,5.08,400,0.2032,B,841241,919223,0,16:03:05.660
000931.SZ,09:30:00.810,93000810,919227,5.08,400,0.2032,B,841363,919223,0,16:03:05.660
000931.SZ,09:30:00.810,93000810,919228,5.08,300,0.1524,B,841449,919223,0,16:03:05.660
000931.SZ,09:30:00.840,93000840,924916,5.08,100,0.0508,B,841449,924915,0,16:03:05.787
000931.SZ,09:30:00.940,93000940,937544,5.08,400,0.2032,B,841453,937543,0,16:03:05.912
